Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice
488.577,35.63577,84.79548,3644.2925,7.3515196,4.833116,1986.2677,1974.7397,103.30912,519.0355,71.23066,412.24475,922.6911,1048.3801,631.8755,51.45871,1645.6226,0.5725012,-0.16754499,1.5834613,0.3276323,3.039011,1.1172912,6.179782,1.011187,1961.5052,2.1824198,306.8083,213.45398,106.86446,55.720165,32.708946,65.95745,-3.1570194,456.54144,5.66244,2007.2302,111353.3
1022.8213,34.810112,88.51355,21280.393,7.189693,5.533711,1986.1765,1997.5721,13.093225,2.8026285,12.477631,596.51886,1116.0728,1323.1604,572.2879,50.87857,1004.3279,0.20596135,0.06539676,2.0970743,-0.030403826,3.6573446,0.8745341,4.990821,0.8304153,1955.7341,1.5616639,267.16507,114.432915,-14.7517,80.68787,30.325253,57.711887,16.132584,568.21027,8.2482395,2006.5474,242742.47
335.73593,59.585823,74.844475,5217.448,5.2640076,5.82064,1976.8943,1999.3607,189.49295,531.35333,-15.964619,201.26773,1340.5574,1385.1165,388.80704,-31.515985,1092.9084,0.18545233,0.06894448,1.2714348,0.05075645,2.6585152,1.0961272,7.3557363,0.13980451,1958.2618,1.5948075,283.12128,57.438286,71.992294,-7.697908,12.6142025,-32.058914,-34.43053,-477.2529,8.429896,2008.4751,193505.75
867.38226,20.686604,90.97057,3453.4668,5.5851007,6.038708,1957.4032,1968.3939,247.37242,569.66724,-71.396935,817.30115,632.2616,1370.7319,267.47302,40.038773,1807.34,0.71847034,0.10311884,1.050479,-0.1049785,2.329418,0.9209815,5.5585594,1.1971639,1961.9329,2.3934257,280.25027,212.98122,63.303883,61.058273,14.805879,9.355693,-13.898681,-175.80014,7.831706,2007.6254,247021.45
320.14905,85.749855,91.48839,12208.049,6.7618103,4.6061034,1983.4183,1967.9171,122.627235,142.25566,178.00299,918.2644,867.38965,1363.1886,687.77405,-19.831755,1613.1017,0.35089138,0.2557574,1.1685616,0.68316513,2.1733284,0.8414794,4.9929614,0.69476414,1954.8356,1.0889593,467.52765,93.478455,8.586671,9.891077,11.461603,-15.248555,9.26367,-497.12253,8.951514,2008.5037,239996.56
1035.295,18.467766,48.541885,10455.75,4.7961287,6.2603626,1998.0308,2003.2301,160.95181,854.4055,-5.655651,993.0856,718.57916,803.29504,-85.0757,35.7542,1748.7302,-0.0428396,0.25393474,2.09514,0.058504757,2.5274842,0.8306243,8.161971,0.12608176,2001.9612,1.3453696,277.29916,-27.894337,14.931401,8.581051,-25.340183,-37.33501,-31.36959,328.8351,3.953572,2007.0608,217307.47
1063.4615,86.70469,87.21426,20913.492,5.3938556,5.7964606,1960.4667,1966.6451,218.51299,251.78897,-36.909058,149.84525,1100.3263,1389.0833,786.82,49.00377,1117.7726,0.9217605,-0.14545956,1.0760542,0.63849884,3.1589231,1.2139864,6.389936,0.92035395,1955.7134,2.364932,293.9231,140.45741,55.19107,3.6230776,27.176373,-16.70783,20.20808,597.97876,5.242989,2006.5549,200148.56
509.10867,19.121407,61.682316,-40.649868,7.266788,4.493521,1958.14,1986.4095,266.72046,-8.086623,-112.00509,1014.6953,1500.312,965.6045,224.16058,36.161793,2028.9624,-0.08949123,0.26454866,2.11969,0.8427855,2.08972,0.9792854,4.9443803,0.24826121,2001.584,2.2022135,687.08417,50.65841,0.59110004,4.154698,33.847332,-10.9072485,42.117435,530.6315,8.727257,2009.0277,211895.8
1132.1515,18.555248,91.76191,15445.782,7.3041496,4.486051,1996.434,1968.8987,269.1889,-5.1023397,181.35323,954.7935,644.85516,976.1303,561.9124,47.76998,1491.6204,0.6136688,0.2823626,1.3873444,0.54782856,3.0187607,0.85255724,6.311021,1.1824379,1954.9872,1.0630411,425.34454,86.34504,33.60251,52.38842,0.0795238,52.369267,27.247622,-460.2524,8.056689,2008.2202,177511.94
578.79803,65.33183,72.409676,3772.0562,6.1520295,5.505365,1999.7512,1974.3254,171.46288,504.81555,9.995308,249.49582,967.0376,1394.4336,440.82968,-7.5651164,1415.77,0.8347121,-0.17038156,1.0462892,-0.08834547,2.7848983,1.070039,7.6156654,0.9865017,1967.4498,2.4620733,679.4233,224.1337,117.75037,-4.2890296,27.198069,66.8477,-32.851406,-394.2794,8.20173,2007.9188,116256.984
