Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice
1137.2925,16.954514,92.32049,5546.667,5.9401183,4.620671,1964.1187,1968.376,257.9121,284.57358,197.39474,292.83395,651.55304,1402.4438,127.713394,3.033617,2046.4901,0.26800185,-0.17775624,1.6946853,-0.1169031,2.1022081,1.062835,6.531679,1.0756521,1968.5466,1.2816118,268.49692,38.197536,91.00623,-20.963736,-17.023108,-21.430109,-38.545074,-276.3589,3.692473,2007.2416,219439.22
835.5708,61.80827,89.69767,20533.861,5.4692845,6.676819,1999.511,1966.2223,274.61862,655.2997,91.45362,125.01141,693.94324,1489.9269,-64.05467,-0.6181249,1661.5317,0.5147819,-0.1525913,1.7577862,0.17157787,2.5290287,1.0966141,7.4000597,0.7351918,2002.067,1.079379,446.9872,-5.338391,114.904205,79.84917,-0.50395346,-27.766302,39.000618,299.2457,6.8935394,2007.1073,253370.95
386.61102,99.19956,57.299236,135.22122,4.9332523,6.6893167,1996.7961,1998.721,230.94696,898.9045,195.84134,830.1427,1244.348,852.8916,248.45175,50.66431,1207.9873,0.87673753,0.029481988,2.0943289,0.1534333,3.1415198,0.89290977,5.091112,-0.016393926,1954.8396,2.5194392,545.74805,-33.443142,-18.057241,15.328599,34.200607,44.31888,43.143078,487.92697,3.7035851,2007.4628,169462.1
419.1375,32.71804,91.50035,20110.496,6.4000254,4.6900153,1992.7537,2005.4,-31.136465,892.03015,165.24931,127.50656,864.8132,1017.696,9.173385,-18.772392,1806.2966,0.7454985,-0.16210863,1.1226287,0.72847855,2.1722069,0.95673496,4.946152,1.1771895,1962.7714,2.2047913,266.53088,-33.15205,48.758667,-17.930948,24.487934,22.764221,21.769896,500.46143,6.3243337,2007.1848,218949.05
998.2518,86.34034,52.440105,234.53763,6.961836,6.6941657,1998.9452,1993.4353,262.07852,707.3396,-8.018154,204.97046,707.02295,988.03705,-37.741592,8.352782,1577.5393,0.93037766,0.006773903,1.8965007,-0.09327644,3.3615005,0.90714526,5.5285373,0.0368304,1994.3923,1.3127384,680.6695,-1.3366897,-18.160528,2.5072806,32.11943,10.538382,43.88894,576.1915,6.4536138,2008.8142,252573.06
788.2753,89.484245,89.02713,19736.373,4.7636995,5.495012,1998.9874,1967.3097,263.39786,883.2459,160.45067,132.31332,671.2253,793.3033,151.21477,53.224957,1095.5211,0.9430735,-0.14423442,1.2966111,0.78053355,2.255641,1.2197267,5.4281473,1.247717,1978.3848,2.4487364,606.49023,-33.412853,-1.3364702,83.50706,-25.945332,70.664406,33.590324,501.01245,8.74611,2008.8898,233999.3
1147.3159,95.38031,65.2728,18718.682,5.148959,4.8409743,2001.0233,1972.0712,231.91685,15.658708,135.85469,699.99817,695.391,1388.5608,627.794,3.055435,1866.7463,0.9439618,-0.08284903,1.518574,0.13566734,2.1568708,1.2428793,6.882315,1.2338127,1995.3333,1.1142905,551.5393,127.43343,105.793274,69.96455,-14.177412,-13.227237,-33.595493,-481.57736,7.510788,2007.6288,253658.1
863.6605,20.369576,69.50135,32.856968,7.4550643,6.5872855,1992.893,1991.1865,2.0665677,246.65453,143.72458,132.99939,876.04175,798.58813,496.59183,-30.52968,1832.3557,-0.09101455,0.19287193,1.0792235,-0.11595985,2.1878414,0.8284226,7.2263026,-0.0132383965,2001.0951,1.078441,370.1631,224.12706,118.669846,-39.772186,27.450327,-31.440577,27.825094,414.2668,7.6724553,2009.0513,228185.34
938.21045,15.352553,90.19068,955.4224,6.9834623,5.141691,1988.9529,1998.0723,265.0111,306.08466,80.57501,689.1481,672.762,1524.8438,520.5728,-7.433472,1722.8782,0.25244495,0.25831884,2.0011835,-0.10792571,3.3578732,0.8518069,7.037599,0.7376993,2001.711,1.111697,272.48013,216.03278,113.10759,-20.26454,-19.590086,2.4065435,-37.369553,176.59866,8.65883,2008.7899,110275.3
675.1432,14.66783,91.33262,2051.4858,7.2447057,4.7790728,2000.0352,1981.3035,265.25458,-11.832656,-53.956627,726.6414,824.8769,1441.7737,613.87994,-39.408966,1401.358,-0.004096375,0.28770414,1.3381305,-0.11641684,2.4863784,0.8484649,5.9936905,0.02870557,2002.2871,1.0428009,336.7898,225.29219,117.96923,-36.999462,27.430569,-2.1867135,-37.786495,44.405224,8.267788,2006.7258,202378.08
