NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
0.27228054,0.14599524,0.031762414,0.053693347,0.51865894,67.86855,25.90781,7.0317326,85.08366
0.29252365,0.15065421,0.03301509,0.055386547,0.5397936,69.18345,27.122778,7.166067,103.04711
0.25919265,0.1370766,0.028944718,0.05115427,0.47950956,66.5571,25.126984,6.8928437,85.456924
0.33973807,0.16006759,0.051173624,0.06609216,0.69184023,72.54258,29.303411,7.4018607,187.72118
0.21488965,0.116534345,0.022686312,0.044918608,0.3886147,62.871315,22.47619,6.5076966,67.14035
0.2782785,0.14064158,0.041131813,0.048368722,0.5113944,69.22611,26.459902,7.1980505,88.26806
0.19665082,0.11031386,0.020870043,0.042898405,0.36084464,61.52862,21.383125,6.3688416,55.060802
0.6928202,0.59832036,0.18450943,0.17875417,1.5919812,77.274315,42.484894,7.3644533,588.4375
0.29799914,0.12212348,0.037365317,0.04685456,0.5926011,70.82597,27.515583,7.295958,117.12426
0.26164117,0.13919052,0.029623298,0.051738195,0.48875523,66.837234,25.272707,6.922751,84.483284
0.23234871,0.11810278,0.028359203,0.046558935,0.44941765,66.05771,24.019955,6.8285427,82.4685
0.2748912,0.14562774,0.03159478,0.053674906,0.5172062,67.962494,26.065268,7.0405254,89.365685
0.32899305,0.16512248,0.035985354,0.070853986,0.6538809,71.55978,28.587551,7.3110332,169.82166
0.47180408,0.2919126,0.08222029,0.10596159,0.93848187,75.03608,34.664883,7.5349736,312.40485
0.31697592,0.12696865,0.050099235,0.052777313,0.6584384,71.82456,28.397108,7.3573465,163.51419
0.15857847,0.07670345,0.027462577,0.028089384,0.25993702,60.722824,19.742584,6.3098464,46.62688
2.0349536,1.434347,0.4881305,0.4514403,4.182159,83.89697,54.468384,7.762702,1182.9001
0.25404656,0.1338346,0.03236442,0.04506559,0.43648443,68.018074,25.212978,7.0738554,71.46215
0.2843954,0.15166922,0.03349306,0.05541236,0.5437587,68.88087,26.632635,7.1375513,89.977554
0.31771028,0.16576022,0.04532969,0.06562463,0.6290202,71.3755,28.372953,7.3359246,151.19968
0.2886545,0.13434473,0.037794836,0.04899915,0.5461242,69.89619,26.918564,7.230397,103.917534
0.413717,0.2342278,0.06240629,0.080677286,0.7362532,73.514435,31.626951,7.52978,193.73108
0.28478512,0.15028048,0.033014584,0.0550834,0.5377861,68.7907,26.6572,7.1271114,93.323975
0.30372804,0.15951303,0.036066476,0.05812381,0.57530564,70.33315,27.773933,7.2846603,104.159256
0.22431661,0.11573261,0.029646588,0.03923316,0.37850547,66.07744,23.61794,6.8692317,62.07588
0.25465137,0.1357699,0.028574826,0.050710466,0.4736398,66.24169,24.85463,6.860403,81.957855
0.27741078,0.1426758,0.03390489,0.053503715,0.53746057,69.2377,26.52473,7.166231,95.59306
0.29014856,0.1284749,0.0370135,0.048027247,0.55906963,70.174324,27.042032,7.243496,109.91097
0.25766796,0.1310428,0.037374854,0.04459711,0.45952117,67.94525,25.34496,7.0666833,77.77392
0.31710702,0.16489364,0.04523053,0.06539335,0.6286233,71.36705,28.35214,7.3347297,151.10995
0.23210762,0.116924725,0.028578667,0.046352725,0.45035657,66.20912,24.06246,6.8427777,83.94953
0.40348306,0.3216344,0.06727802,0.09645416,0.7531788,73.520424,33.36045,7.452135,223.8608
0.29891983,0.1587723,0.036495756,0.058048703,0.5742082,70.19391,27.516075,7.2678604,101.26352
0.20549908,0.10989983,0.02352208,0.04346108,0.38828447,63.126793,22.183578,6.528645,65.104744
0.25856397,0.13423227,0.027988149,0.0504415,0.4672046,66.305405,25.091396,6.864887,90.37818
0.2586643,0.1368656,0.028881649,0.051088203,0.47857216,66.5158,25.095343,6.88855,85.16951
0.26271632,0.13424009,0.0372477,0.045465805,0.46769738,68.394264,25.653215,7.113487,78.610214
0.28342223,0.1461809,0.031643353,0.054043606,0.5200279,68.40647,26.57841,7.084713,99.798225
0.37980413,0.24399969,0.05464811,0.08092059,0.6362478,71.99821,30.300573,7.452572,145.23515
0.29671255,0.15635662,0.036654253,0.05758826,0.57161564,70.25352,27.462309,7.27096,103.26362
0.4039152,0.32872406,0.07163797,0.100274324,0.7946518,73.997536,34.722782,7.4425397,260.2477
0.2822184,0.14194815,0.035293933,0.053703588,0.551366,70.11598,26.970879,7.2535977,101.957924
0.20044498,0.103419594,0.026111884,0.03530646,0.32681012,64.48451,22.30969,6.7018585,53.21072
